UserID,CurrentStatus,Date,Steps,Distance,Floors,Calories,ActivityCalories,ActiveMinutes,Group
622JGDD,ACTIVE,1/17/17,12077,5.5,2,2821,1349,86,North Port ECC
622JGDD,ACTIVE,1/18/17,13115,5.8,4,2656,1230,106,North Port ECC
622JGDD,ACTIVE,1/19/17,2689,1.2,2,644,238,20,North Port ECC
6223BJM,ACTIVE,1/17/17,6331,2.6,,2067,997,0,North Port ECC
6223BJM,ACTIVE,1/18/17,61,0,,471,18,0,North Port ECC
622JHLX,ACTIVE,1/17/17,1740,0.8,,2768,445,0,Rand Blvd
622JHLX,ACTIVE,1/18/17,6461,2.9,,3462,1450,0,Rand Blvd
622JHLX,ACTIVE,1/19/17,15,0,,647,5,0,Rand Blvd
6222WDG,ACTIVE,1/17/17,10087,4.5,1,2715,1444,0,Patient Financial Service
6222WDG,ACTIVE,1/18/17,6338,2.8,0,2404,992,0,Patient Financial Service
6222WDG,ACTIVE,1/19/17,125,0.1,0,360,21,0,Patient Financial Service
6222D7Y,ACTIVE,1/17/17,10135,3.8,4,3049,1666,19,ICU
6222D7Y,ACTIVE,1/18/17,11417,4.1,3,3267,2027,21,ICU
622JPQX,ACTIVE,1/17/17,11127,5.2,5,2133,1084,35,NICU
622JPQX,ACTIVE,1/18/17,7474,3.2,7,2028,960,0,NICU
622JPQX,ACTIVE,1/19/17,2854,1.2,4,569,320,8,NICU
622JHN8,ACTIVE,1/17/17,13605,6.3,4,3885,2348,73,CBO
622JHN8,ACTIVE,1/18/17,11740,5.4,4,3425,1835,81,CBO
622JHN8,ACTIVE,1/19/17,146,0.1,0,481,21,0,CBO
6222YDB,ACTIVE,1/16/17,448,0.2,0,1381,79,0,Cath Lab
6222YDB,ACTIVE,1/17/17,6315,2.6,2,1956,820,0,Cath Lab
6222YDB,ACTIVE,1/18/17,2696,1.1,0,1639,407,0,Cath Lab
6222YDB,ACTIVE,1/19/17,,,,,,,Cath Lab
6222WDF,ACTIVE,1/16/17,10555,4.4,6,2385,1299,0,Inpatient Rehab
6222WDF,ACTIVE,1/17/17,7772,3.2,4,2127,877,11,Inpatient Rehab
6222WDF,ACTIVE,1/18/17,12126,5.1,9,2349,1149,62,Inpatient Rehab
6222WDF,ACTIVE,1/19/17,622,0.3,0,431,74,0,Inpatient Rehab
6222TQS,ACTIVE,1/16/17,14203,6,13,2673,1702,34,OR Main
6222TQS,ACTIVE,1/17/17,15880,7.5,15,2672,1658,42,OR Main
6222TQS,ACTIVE,1/18/17,20117,9.2,18,3076,2161,83,OR Main
6222TQS,ACTIVE,1/19/17,2234,1,0,451,206,24,OR Main
622JK5G,ACTIVE,1/15/17,144,0.1,0,2026,27,0,8ET
622JK5G,ACTIVE,1/16/17,6668,3,0,3209,1474,59,8ET
622JK5G,ACTIVE,1/17/17,8953,4,1,3216,1567,5,8ET
622JK5G,ACTIVE,1/18/17,2265,1,1,2387,446,0,8ET
622JK5G,ACTIVE,1/19/17,,,,,,,8ET
6223HLT,ACTIVE,1/1/17,6197,2.9,0,2629,1487,57,ICU
6223HLT,ACTIVE,1/2/17,9125,4.3,5,2521,1366,0,ICU
6223HLT,ACTIVE,1/3/17,7871,3.7,2,2389,1214,8,ICU
6223HLT,ACTIVE,1/4/17,10133,4.7,1,2375,1136,61,ICU
6223HLT,ACTIVE,1/5/17,4196,2,3,1996,658,0,ICU
6223HLT,ACTIVE,1/6/17,9986,4.7,3,2512,1310,60,ICU
6223HLT,ACTIVE,1/7/17,7130,3.3,1,2506,1359,20,ICU
6223HLT,ACTIVE,1/8/17,4769,2.2,0,2339,1107,38,ICU
6223HLT,ACTIVE,1/9/17,4068,1.9,2,2040,713,13,ICU
6223HLT,ACTIVE,1/10/17,4126,1.9,5,2150,854,12,ICU
6223HLT,ACTIVE,1/11/17,4015,1.9,1,1985,636,0,ICU
6223HLT,ACTIVE,1/12/17,6520,3,2,2605,1462,41,ICU
6223HLT,ACTIVE,1/13/17,9163,4.3,2,2856,1795,55,ICU
6223HLT,ACTIVE,1/14/17,6800,3.2,0,2344,1133,0,ICU
6223HLT,ACTIVE,1/15/17,3911,1.8,1,2087,784,0,ICU
6223HLT,ACTIVE,1/16/17,6291,2.9,1,2466,1269,34,ICU
6223HLT,ACTIVE,1/17/17,16403,7.7,12,3350,2353,174,ICU
6223HLT,ACTIVE,1/18/17,3418,1.6,0,1740,605,0,ICU
622JJX8,ACTIVE,1/15/17,4973,1.9,,1605,496,0,Neuro/Uro
622JJX8,ACTIVE,1/16/17,12152,4.7,,2199,1379,9,Neuro/Uro
622JJX8,ACTIVE,1/17/17,5426,2.1,,1715,682,0,Neuro/Uro
